preset,hit,time_s,C,F,T,Cr,B1,B2,B3
before,1,0.549333,43,39,61,60,63,82,84
before,2,0.853333,42,38,60,58,63,73,84
before,3,1.200000,42,38,61,64,52,81,84
before,4,1.845333,39,38,56,84,52,72,84
before,5,2.154667,39,38,56,84,63,72,84
before,6,2.506667,39,38,56,84,63,72,84
before,7,3.216000,41,41,60,84,63,81,84
before,8,3.541333,41,38,62,65,63,81,84
before,9,3.877333,41,38,62,63,52,72,84
before,10,4.528000,39,38,57,84,63,73,84
before,11,4.842667,39,37,56,84,63,72,84
before,12,5.184000,39,38,56,84,63,73,84
after,1,0.549333,43,39,61,50,63,82,79
after,2,0.853333,42,38,60,48,63,73,72
after,3,1.200000,42,38,61,52,52,81,76
after,4,1.845333,39,38,56,66,52,72,75
after,5,2.154667,39,38,56,67,63,72,81
after,6,2.506667,39,38,56,67,63,72,81
after,7,3.216000,41,41,60,68,63,81,79
after,8,3.541333,41,38,62,53,63,81,79
after,9,3.877333,41,38,62,51,52,72,72
after,10,4.528000,39,38,57,77,63,73,74
after,11,4.842667,39,37,56,79,63,72,75
after,12,5.184000,39,38,56,78,63,73,74
