hit,time_s,centroid_hz,flatness,tilt,crest,trace1_hz,trace2_hz,trace3_hz
1,0.549333,1643.989724,0.052239,0.322798,39.986159,304.687500,914.062500,1546.875000
2,0.853333,1462.898040,0.038209,0.089586,36.268451,304.687500,539.062500,1054.687500
3,1.200000,1570.963198,0.041214,0.437886,46.831574,164.062500,867.187500,1312.500000
4,1.845333,807.600316,0.044917,-1.187430,86.445490,164.062500,515.625000,1218.750000
5,2.154667,799.149959,0.039611,-1.220270,91.617072,304.687500,515.625000,1734.375000
6,2.506667,825.385099,0.045521,-1.248003,91.721757,304.687500,515.625000,1757.812500
7,3.216000,1308.333433,0.098609,-0.002744,93.750325,304.687500,867.187500,1570.312500
8,3.541333,1180.667709,0.046403,0.677717,48.298575,304.687500,867.187500,1546.875000
9,3.877333,1280.857204,0.040584,0.760426,44.989349,164.062500,515.625000,1031.250000
10,4.528000,838.424933,0.037941,-1.130747,119.792569,304.687500,539.062500,1171.875000
11,4.842667,756.782102,0.027622,-1.186387,125.582908,304.687500,515.625000,1218.750000
12,5.184000,752.141542,0.031977,-1.266131,121.174312,304.687500,539.062500,1195.312500
