preset,hit,time_s,C,F,T,Cr,B1,B2,B3
before,1,0.549333,43,39,61,60,63,82,84
before,2,0.853333,42,38,60,58,63,81,84
before,3,1.200000,42,38,61,64,63,81,84
before,4,1.845333,39,38,56,84,63,83,84
before,5,2.154667,39,38,56,84,63,83,84
before,6,2.506667,39,38,56,84,63,80,84
before,7,3.216000,41,41,59,84,63,81,84
before,8,3.541333,41,38,61,65,63,84,84
before,9,3.877333,41,38,62,63,63,84,84
before,10,4.528000,39,38,56,84,63,75,84
before,11,4.842667,39,37,55,84,63,84,84
before,12,5.184000,39,38,55,84,63,75,84
after,1,0.549333,43,39,61,50,63,82,79
after,2,0.853333,42,38,60,48,63,81,77
after,3,1.200000,42,38,61,52,63,81,76
after,4,1.845333,39,38,56,66,63,83,81
after,5,2.154667,39,38,56,67,63,83,81
after,6,2.506667,39,38,56,67,63,80,81
after,7,3.216000,41,41,59,68,63,81,79
after,8,3.541333,41,38,61,53,63,84,79
after,9,3.877333,41,38,62,51,63,84,82
after,10,4.528000,39,38,56,77,63,75,80
after,11,4.842667,39,37,55,79,63,87,79
after,12,5.184000,39,38,55,78,63,75,80
