hit,time_s,centroid_hz,flatness,tilt,crest,trace1_hz,trace2_hz,trace3_hz
1,0.549333,1643.989724,0.052239,0.145861,39.986159,304.687500,914.062500,1570.312500
2,0.853333,1462.898040,0.038209,-0.131529,36.268451,304.687500,867.187500,1570.312500
3,1.200000,1570.963198,0.041214,0.405659,46.831574,304.687500,1312.500000,1570.312500
4,1.845333,807.600316,0.044917,-1.215529,86.445490,304.687500,984.375000,1734.375000
5,2.154667,799.149959,0.039611,-1.226152,91.617072,304.687500,960.937500,1734.375000
6,2.506667,825.385099,0.045521,-1.319091,91.721757,304.687500,843.750000,1757.812500
7,3.216000,1308.333433,0.098609,-0.661113,93.750325,304.687500,867.187500,1570.312500
8,3.541333,1180.667709,0.046403,0.033632,48.298575,304.687500,1546.875000,1570.312500
9,3.877333,1280.857204,0.040584,0.476732,44.989349,304.687500,1031.250000,1851.562500
10,4.528000,838.424933,0.037941,-1.602464,119.792569,304.687500,1171.875000,1640.625000
11,4.842667,756.782102,0.027622,-1.746882,125.582908,304.687500,1218.750000,1570.312500
12,5.184000,752.141542,0.031977,-1.919364,121.174312,304.687500,1195.312500,1687.500000
