preset,hit,time_s,C,F,T,Cr,B1,B2,B3
before,1,0.549333,43,39,59,60,36,82,84
before,2,0.853333,42,38,59,58,36,73,84
before,3,1.200000,42,38,59,64,46,81,84
before,4,1.845333,39,38,55,84,52,72,84
before,5,2.154667,39,38,55,84,63,72,84
before,6,2.506667,39,38,55,84,63,72,84
before,7,3.216000,41,41,57,84,36,81,84
before,8,3.541333,41,38,60,65,36,81,84
before,9,3.877333,41,38,60,63,46,72,84
before,10,4.528000,39,38,56,84,63,73,84
before,11,4.842667,39,37,56,84,63,72,84
before,12,5.184000,39,38,56,84,63,73,84
after,1,0.549333,43,39,59,50,36,82,79
after,2,0.853333,42,38,59,48,36,73,72
after,3,1.200000,42,38,59,52,46,81,76
after,4,1.845333,39,38,55,66,52,72,75
after,5,2.154667,39,38,55,67,63,72,81
after,6,2.506667,39,38,55,67,63,72,81
after,7,3.216000,41,41,57,68,36,81,79
after,8,3.541333,41,38,60,53,36,81,79
after,9,3.877333,41,38,60,51,46,72,72
after,10,4.528000,39,38,56,77,63,73,74
after,11,4.842667,39,37,56,79,63,72,75
after,12,5.184000,39,38,56,78,63,73,74
