hit,time_s,centroid_hz,flatness,tilt,crest,trace1_hz,trace2_hz,trace3_hz
1,0.549333,1643.989724,0.052239,-0.290133,39.986159,46.875000,914.062500,1546.875000
2,0.853333,1462.898040,0.038209,-0.460957,36.268451,46.875000,539.062500,1054.687500
3,1.200000,1570.963198,0.041214,-0.364189,46.831574,117.187500,867.187500,1312.500000
4,1.845333,807.600316,0.044917,-1.580410,86.445490,164.062500,515.625000,1218.750000
5,2.154667,799.149959,0.039611,-1.565555,91.617072,304.687500,515.625000,1734.375000
6,2.506667,825.385099,0.045521,-1.643538,91.721757,304.687500,515.625000,1757.812500
7,3.216000,1308.333433,0.098609,-0.884381,93.750325,46.875000,867.187500,1570.312500
8,3.541333,1180.667709,0.046403,0.025429,48.298575,46.875000,867.187500,1546.875000
9,3.877333,1280.857204,0.040584,0.062581,44.989349,117.187500,515.625000,1031.250000
10,4.528000,838.424933,0.037941,-1.301187,119.792569,304.687500,539.062500,1171.875000
11,4.842667,756.782102,0.027622,-1.321467,125.582908,304.687500,515.625000,1218.750000
12,5.184000,752.141542,0.031977,-1.439536,121.174312,304.687500,539.062500,1195.312500
